code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
54380,Mont-le-Vignoble,280,54,214,43,73,98
54381,Montreux,66,17,48,7,23,18
54382,Mont-Saint-Martin,4128,2182,1882,592,500,790
54383,Mont-sur-Meurthe,799,264,514,116,240,158
54385,Morfontaine,722,366,345,70,157,118
54386,Moriviller,88,25,58,8,22,28
54387,Morville-sur-Seille,133,39,85,14,33,38
54388,Mouacourt,61,19,41,4,8,29
54389,Mouaville,75,31,42,4,22,16
54390,Mousson,122,43,73,25,20,28
54391,Moutiers,1336,663,649,244,232,173
54392,Moutrot,210,52,151,18,53,80
54393,Moyen,420,161,252,50,112,90
54394,Murville,200,74,118,20,53,45
54395,Nancy,50991,20515,29459,5413,5269,18777
54396,Neufmaisons,169,57,109,18,60,31
54397,Neuves-Maisons,5090,2246,2737,620,1068,1049
54398,Neuviller-lès-Badonviller,85,23,58,8,33,17
54399,Neuviller-sur-Moselle,222,108,109,28,45,36
54400,Nomeny,873,292,552,88,201,263
54401,Nonhigny,97,20,73,10,13,50
54402,Norroy-le-Sec,326,121,197,37,67,93
54403,Norroy-lès-Pont-à-Mousson,963,347,592,97,225,270
54404,Noviant-aux-Prés,149,61,86,18,43,25
54405,Ochey,277,86,185,14,93,78
54406,Ogéviller,221,94,120,17,53,50
54407,Ognéville,88,19,68,1,33,34
54408,Olley,187,60,121,20,51,50
54409,Omelmont,121,34,84,17,31,36
54410,Onville,340,140,193,31,97,65
54411,Ormes-et-Ville,188,45,137,19,45,73
54412,Othe,29,11,17,2,6,9
54413,Ozerailles,111,52,54,9,18,27
54414,Pagney-derrière-Barine,488,182,293,54,112,127
54415,Pagny-sur-Moselle,3458,1474,1888,342,755,791
54416,Pannes,128,37,87,15,39,33
54417,Parey-Saint-Césaire,186,43,136,22,63,51
54418,Parroy,148,43,103,13,39,51
54419,Parux,62,14,46,7,24,15
54420,Petit-Failly,62,20,42,5,19,18
54421,Petitmont,277,113,150,17,73,60
54422,Pettonville,54,11,40,6,16,18
54423,Pexonne,274,92,171,33,88,50
54424,Phlin,33,11,22,3,9,10
54425,Piennes,1679,871,763,219,313,231
54426,Pierre-la-Treiche,386,117,263,47,125,91
54427,Pierre-Percée,100,31,68,11,27,30
54428,Pierrepont,630,314,299,47,172,80
54429,Pierreville,257,100,147,37,51,59
54430,Pompey,3244,1418,1753,416,645,692
54431,Pont-à-Mousson,9558,4440,4958,806,1676,2476
54432,Pont-Saint-Vincent,1416,605,782,179,267,336
54433,Port-sur-Seille,192,73,116,16,43,57
54434,Praye,205,59,139,24,48,67
54435,Prény,311,113,185,46,69,70
54436,Preutin-Higny,108,51,56,14,20,22
54437,Pulligny,983,342,613,140,235,238
54438,Pulney,61,16,43,9,17,17
54439,Pulnoy,3732,1326,2318,462,693,1163
54440,Puxe,88,21,65,10,34,21
54441,Puxieux,194,58,128,16,58,54
54442,Quevilloncourt,70,22,46,9,12,25
54443,Raon-lès-Leau,35,9,23,5,6,12
54444,Raucourt,155,46,106,6,54,46
54445,Raville-sur-Sânon,90,35,50,5,24,21
